date,time,name,chat,Flirt_Label
01/01/2024,12:00 am,You,Team building event Friday,0
01/01/2024,12:05 am,Sara,Store closing in 15 minutes,0
01/01/2024,12:10 am,You,You're the plot twist I didn't expect,1
01/01/2024,12:15 am,Sara,Lowkey have a crush on you,1
01/01/2024,12:20 am,Sara,You + me = perfect chemistry,1
01/01/2024,12:25 am,Crush,Bank statement arrived today,0
01/01/2024,12:30 am,Crush,Train delayed 20 minutes,0
01/01/2024,12:35 am,You,Fridge needs defrosting,0
01/01/2024,12:40 am,Sara,Tonight feels empty without you,1
01/01/2024,12:45 am,You,Team meeting rescheduled,0
01/01/2024,12:50 am,You,Group call in 10 minutes,0
01/01/2024,12:55 am,Ali,Need help with the project?,0
01/01/2024,01:00 am,Sara,Your smile is dangerous 🔥,1
01/01/2024,01:05 am,You,You make my day better every time,1
01/01/2024,01:10 am,You,Dishwasher tablets running low,0
01/01/2024,01:15 am,Crush,You're my favorite kind of chaos,1
01/01/2024,01:20 am,Crush,Your vibe is everything I need,1
01/01/2024,01:25 am,Ali,Tire pressure low warning,0
01/01/2024,01:30 am,Crush,Caught myself smiling at my phone again,1
01/01/2024,01:35 am,Crush,Grocery list is on fridge,0
01/01/2024,01:40 am,Ali,What's for lunch today?,0
01/01/2024,01:45 am,You,Weather forecast says rain,0
01/01/2024,01:50 am,Sara,Your vibe is everything I need,1
01/01/2024,01:55 am,Ali,Stop being so charming 😅,1
01/01/2024,02:00 am,You,Exam results are out tomorrow,0
01/01/2024,02:05 am,Crush,You're my favorite notification,1
01/01/2024,02:10 am,You,Your eyes tell better stories than words,1
01/01/2024,02:15 am,Crush,Check your email for the link,0
01/01/2024,02:20 am,You,I'm studying for finals,0
01/01/2024,02:25 am,You,Stop making me like you more 😩,1
01/01/2024,02:30 am,Sara,I want your goodnight and good morning,1
01/01/2024,02:35 am,You,Traffic is terrible today,0
01/01/2024,02:40 am,Ali,You make boring days exciting,1
01/01/2024,02:45 am,Ali,You're the plot twist I didn't expect,1
01/01/2024,02:50 am,Crush,Your voice is kinda addictive,1
01/01/2024,02:55 am,Sara,Good morning beautiful ☀️,1
01/01/2024,03:00 am,Ali,Your laugh makes everything better,1
01/01/2024,03:05 am,You,You fit perfectly in my daydreams,1
01/01/2024,03:10 am,Sara,Light bulb burned out again,0
01/01/2024,03:15 am,Sara,Group call in 10 minutes,0
01/01/2024,03:20 am,You,Printer ink running low,0
01/01/2024,03:25 am,Sara,Group project meeting tomorrow,0
01/01/2024,03:30 am,You,Car insurance payment due,0
01/01/2024,03:35 am,You,Check your email for the link,0
01/01/2024,03:40 am,Ali,Meeting minutes uploaded,0
01/01/2024,03:45 am,Crush,Missed voice call,0
01/01/2024,03:50 am,You,You looked amazing today 😍,1
01/01/2024,03:55 am,Sara,Missed voice call,0
01/01/2024,04:00 am,Crush,Gas prices went up again,0
01/01/2024,04:05 am,Ali,Don't forget the deadline,0
01/01/2024,04:10 am,Crush,"Keep talking, I love your voice",1
01/01/2024,04:15 am,Sara,Good morning beautiful ☀️,1
01/01/2024,04:20 am,Ali,Tonight feels empty without you,1
01/01/2024,04:25 am,Crush,Let's make bad decisions together 😈,1
01/01/2024,04:30 am,Ali,Meeting at 2pm sharp,0
01/01/2024,04:35 am,Sara,I'm jealous of anyone who gets your time,1
01/01/2024,04:40 am,Crush,Tell me something I don't know about you,1
01/01/2024,04:45 am,Crush,Let's make memories that last forever,1
01/01/2024,04:50 am,Sara,Cell service spotty here,0
01/01/2024,04:55 am,You,Your touch would solve all my problems,1
01/01/2024,05:00 am,Crush,Power bill arrived today,0
01/01/2024,05:05 am,You,This message was deleted,0
01/01/2024,05:10 am,Ali,Do you come with a warning label?,1
01/01/2024,05:15 am,You,You make my day better every time,1
01/01/2024,05:20 am,Sara,Tire pressure low warning,0
01/01/2024,05:25 am,Sara,Lowkey have a crush on you,1
01/01/2024,05:30 am,You,You make boring days exciting,1
01/01/2024,05:35 am,You,What's for lunch today?,0
01/01/2024,05:40 am,Crush,I'd fight the world for one smile from you,1
01/01/2024,05:45 am,Crush,Water heater making noise,0
01/01/2024,05:50 am,You,If I could I'd hug you right now 🤗,1
01/01/2024,05:55 am,Crush,Meeting notes are in the drive,0
01/01/2024,06:00 am,You,"Keep shining, you're breathtaking",1
01/01/2024,06:05 am,Crush,Tire pressure low warning,0
01/01/2024,06:10 am,Crush,What's for lunch today?,0
01/01/2024,06:15 am,You,<Media omitted>,0
01/01/2024,06:20 am,Sara,Renters insurance renewal due,0
01/01/2024,06:25 am,You,I kinda like you more than I should,1
01/01/2024,06:30 am,Sara,You always know what to say,1
01/01/2024,06:35 am,Sara,Car needs an oil change,0
01/01/2024,06:40 am,Crush,Microwave stopped working,0
01/01/2024,06:45 am,Crush,Car needs an oil change,0
01/01/2024,06:50 am,You,<Media omitted>,0
01/01/2024,06:55 am,You,You always know what to say,1
01/01/2024,07:00 am,Sara,You're stuck in my head rent-free,1
01/01/2024,07:05 am,Sara,How's work going today?,0
01/01/2024,07:10 am,Ali,Your voice is kinda addictive,1
01/01/2024,07:15 am,You,Weather forecast says rain,0
01/01/2024,07:20 am,Crush,Car needs an oil change,0
01/01/2024,07:25 am,Crush,"Battery dying, talk later",0
01/01/2024,07:30 am,You,Keys are on the table,0
01/01/2024,07:35 am,Ali,Phone charger is in drawer,0
01/01/2024,07:40 am,You,Store closing in 15 minutes,0
01/01/2024,07:45 am,Sara,You smell like home (in a good way),1
01/01/2024,07:50 am,Sara,Let's make tonight unforgettable,1
01/01/2024,07:55 am,Sara,Missed voice call,0
01/01/2024,08:00 am,Crush,Rent payment confirmed,0
01/01/2024,08:05 am,Crush,Power is out at my place,0
01/01/2024,08:10 am,Ali,I'm jealous of anyone who gets your time,1
01/01/2024,08:15 am,Ali,I save all your messages to reread later,1
01/01/2024,08:20 am,Ali,Tire pressure low warning,0
01/01/2024,08:25 am,Ali,Caught myself smiling at my phone again,1
01/01/2024,08:30 am,Sara,Your voice is kinda addictive,1
01/01/2024,08:35 am,Crush,Group call in 10 minutes,0
01/01/2024,08:40 am,Ali,I save all your messages to reread later,1
01/01/2024,08:45 am,Ali,I'm studying for finals,0
01/01/2024,08:50 am,Ali,You're trouble and I like it,1
01/01/2024,08:55 am,Sara,Your touch would solve all my problems,1
01/01/2024,09:00 am,Crush,Conference registration closed,0
01/01/2024,09:05 am,Ali,Bus schedule changed,0
01/01/2024,09:10 am,You,Meeting at 2pm sharp,0
01/01/2024,09:15 am,Ali,You're sweeter than my coffee ☕,1
01/01/2024,09:20 am,You,Password reset instructions sent,0
01/01/2024,09:25 am,You,Bank statement arrived today,0
01/01/2024,09:30 am,Sara,Your presence = instant happiness,1
01/01/2024,09:35 am,Sara,You looked amazing today 😍,1
01/01/2024,09:40 am,Sara,You're sweeter than my coffee ☕,1
01/01/2024,09:45 am,Ali,Team lunch at 12:30pm,0
01/01/2024,09:50 am,Crush,Group project meeting tomorrow,0
01/01/2024,09:55 am,You,You're my favorite notification,1
01/01/2024,10:00 am,Ali,Lowkey have a crush on you,1
01/01/2024,10:05 am,Ali,I want all your attention tonight,1
01/01/2024,10:10 am,You,Exam results are out tomorrow,0
01/01/2024,10:15 am,Crush,You're trouble and I like it,1
01/01/2024,10:20 am,Crush,Power washing the driveway,0
01/01/2024,10:25 am,You,Your vibe is everything I need,1
01/01/2024,10:30 am,Sara,I'm doing laundry right now,0
01/01/2024,10:35 am,Ali,Can't stop thinking about you 🙈,1
01/01/2024,10:40 am,You,Do you believe in love at first text?,1
01/01/2024,10:45 am,Crush,Call me when you're alone,1
01/01/2024,10:50 am,You,Your goodnight texts keep me up thinking,1
01/01/2024,10:55 am,Crush,You + I = trouble but the good kind,1
01/01/2024,11:00 am,Crush,That outfit was fire yesterday 👀,1
01/01/2024,11:05 am,Ali,You always know what to say,1
01/01/2024,11:10 am,Sara,"Battery dying, talk later",0
01/01/2024,11:15 am,Ali,Your good morning texts > coffee,1
01/01/2024,11:20 am,Ali,Do you believe in love at first text?,1
01/01/2024,11:25 am,Crush,Renters insurance renewal due,0
01/01/2024,11:30 am,You,Check your email for the link,0
01/01/2024,11:35 am,Crush,I'm heading to the gym now,0
01/01/2024,11:40 am,Sara,I'd fight the world for one smile from you,1
01/01/2024,11:45 am,Sara,Weather is nice today isn't it?,0
01/01/2024,11:50 am,Crush,Missed video call,0
01/01/2024,11:55 am,Ali,Library books due Friday,0
01/01/2024,12:00 pm,Ali,Let's skip work and run away together,1
01/01/2024,12:05 pm,Sara,You make my heart do that flip thing,1
01/01/2024,12:10 pm,Crush,Let's make memories that last forever,1
01/01/2024,12:15 pm,You,Conference call at 3pm,0
01/01/2024,12:20 pm,Crush,Come closer next time we meet 😉,1
01/01/2024,12:25 pm,Ali,Your eyes tell better stories than words,1
01/01/2024,12:30 pm,Sara,I kinda like you more than I should,1
01/01/2024,12:35 pm,Crush,Delivery window 2-4pm,0
01/01/2024,12:40 pm,Ali,One date and I'm calling you mine,1
01/01/2024,12:45 pm,You,Do you believe in love at first text?,1
01/01/2024,12:50 pm,Crush,Missed video call,0
01/01/2024,12:55 pm,Sara,Group project meeting tomorrow,0
01/01/2024,01:00 pm,You,Package tracking updated,0
01/01/2024,01:05 pm,You,You make my heart do that flip thing,1
01/01/2024,01:10 pm,Crush,Gas prices went up again,0
01/01/2024,01:15 pm,Ali,You fit perfectly in my daydreams,1
01/01/2024,01:20 pm,Ali,"Keep shining, you're breathtaking",1
01/01/2024,01:25 pm,Crush,Trash needs to go out,0
01/01/2024,01:30 pm,Ali,Your touch would solve all my problems,1
01/01/2024,01:35 pm,You,"Be mine, at least for tonight",1
01/01/2024,01:40 pm,Ali,I'm running 10 minutes late,0
01/01/2024,01:45 pm,You,Project deadline extended,0
01/01/2024,01:50 pm,Sara,Stop making me like you more 😩,1
01/01/2024,01:55 pm,You,Invoice sent to your email,0
01/01/2024,02:00 pm,You,I'm studying for finals,0
01/01/2024,02:05 pm,Ali,Meeting at 2pm sharp,0
01/01/2024,02:10 pm,You,"Zoom link expired, new one coming",0
01/01/2024,02:15 pm,Ali,Power is out at my place,0
01/01/2024,02:20 pm,You,Website maintenance tonight,0
01/01/2024,02:25 pm,Ali,You're my favorite notification,1
01/01/2024,02:30 pm,Crush,Team building event Friday,0
01/01/2024,02:35 pm,Crush,Conference registration closed,0
01/01/2024,02:40 pm,You,Power bill arrived today,0
01/01/2024,02:45 pm,You,I'm studying for finals,0
01/01/2024,02:50 pm,You,I'm heading to the gym now,0
01/01/2024,02:55 pm,Crush,Let's make memories that last forever,1
01/01/2024,03:00 pm,Sara,Package tracking updated,0
01/01/2024,03:05 pm,Crush,Meeting at 2pm sharp,0
01/01/2024,03:10 pm,Crush,Store closing in 15 minutes,0
01/01/2024,03:15 pm,Ali,Flight delayed 2 hours,0
01/01/2024,03:20 pm,You,I'd fight the world for one smile from you,1
01/01/2024,03:25 pm,Ali,Your presence = instant happiness,1
01/01/2024,03:30 pm,Sara,I'm jealous of anyone who gets your time,1
01/01/2024,03:35 pm,You,Stop being so charming 😅,1
01/01/2024,03:40 pm,Sara,You're my safe place in chaos,1
01/01/2024,03:45 pm,Ali,Dry cleaning ready for pickup,0
01/01/2024,03:50 pm,You,Your good morning texts > coffee,1
01/01/2024,03:55 pm,Sara,Package delivered to your door,0
01/01/2024,04:00 pm,Crush,Group call in 10 minutes,0
01/01/2024,04:05 pm,Sara,I'm doing laundry right now,0
01/01/2024,04:10 pm,Sara,Grocery list is on fridge,0
01/01/2024,04:15 pm,Ali,I'm doing laundry right now,0
01/01/2024,04:20 pm,Crush,Gas prices went up again,0
01/01/2024,04:25 pm,Ali,Good morning beautiful ☀️,1
01/01/2024,04:30 pm,Ali,Did you finish the assignment?,0
01/01/2024,04:35 pm,You,You make boring days exciting,1
01/01/2024,04:40 pm,Sara,Let's make bad decisions together 😈,1
01/01/2024,04:45 pm,Crush,Rent payment confirmed,0
01/01/2024,04:50 pm,Ali,"Be mine, at least for tonight",1
01/01/2024,04:55 pm,You,Let's make tonight unforgettable,1
01/01/2024,05:00 pm,Ali,Let's write our own love story,1
01/01/2024,05:05 pm,Ali,Car insurance payment due,0
01/01/2024,05:10 pm,You,Tell me something I don't know about you,1
01/01/2024,05:15 pm,You,Team building event Friday,0
01/01/2024,05:20 pm,Sara,Gas prices went up again,0
01/01/2024,05:25 pm,You,I'm cooking dinner tonight,0
01/01/2024,05:30 pm,Ali,Train delayed 20 minutes,0
01/01/2024,05:35 pm,Crush,You're stuck in my head rent-free,1
01/01/2024,05:40 pm,Sara,Store closing in 15 minutes,0
01/01/2024,05:45 pm,Ali,Bus schedule changed,0
01/01/2024,05:50 pm,Sara,"Battery dying, talk later",0
01/01/2024,05:55 pm,Sara,I'm running 10 minutes late,0
01/01/2024,06:00 pm,Ali,How's work going today?,0
01/01/2024,06:05 pm,You,Library books due Friday,0
01/01/2024,06:10 pm,You,What's for lunch today?,0
01/01/2024,06:15 pm,Crush,Project deadline extended,0
01/01/2024,06:20 pm,Ali,Let's create moments worth remembering,1
01/01/2024,06:25 pm,You,Team lunch at 12:30pm,0
01/01/2024,06:30 pm,You,Printer ink running low,0
01/01/2024,06:35 pm,You,Rent payment confirmed,0
01/01/2024,06:40 pm,You,AC filter needs changing,0
01/01/2024,06:45 pm,Crush,Your energy pulls me in every time,1
01/01/2024,06:50 pm,Sara,WiFi is down again,0
01/01/2024,06:55 pm,You,Imagine us together right now 🥰,1
01/01/2024,07:00 pm,Crush,Microwave stopped working,0
01/01/2024,07:05 pm,Ali,Caught myself smiling at my phone again,1
01/01/2024,07:10 pm,You,That outfit was fire yesterday 👀,1
01/01/2024,07:15 pm,Ali,You make my day better every time,1
01/01/2024,07:20 pm,Sara,Your presence = instant happiness,1
01/01/2024,07:25 pm,Ali,I save all your messages to reread later,1
01/01/2024,07:30 pm,You,Why are you so perfect? 😌,1
01/01/2024,07:35 pm,Ali,How's work going today?,0
01/01/2024,07:40 pm,Sara,You make my day better every time,1
01/01/2024,07:45 pm,You,Your silence speaks louder than words,1
01/01/2024,07:50 pm,Ali,Street cleaning tomorrow morning,0
01/01/2024,07:55 pm,You,I kinda like you more than I should,1
01/01/2024,08:00 pm,Crush,Dry cleaning ready for pickup,0
01/01/2024,08:05 pm,Ali,"Be honest, do you miss me?",1
01/01/2024,08:10 pm,Ali,That was the hottest message ever 🔥,1
01/01/2024,08:15 pm,Ali,I'm jealous of anyone who gets your time,1
01/01/2024,08:20 pm,Crush,That picture you sent... wow 😍,1
01/01/2024,08:25 pm,Ali,You looked amazing today 😍,1
01/01/2024,08:30 pm,You,Imagine us together right now 🥰,1
01/01/2024,08:35 pm,Sara,Mailbox key is with neighbor,0
01/01/2024,08:40 pm,Crush,Your silence speaks louder than words,1
01/01/2024,08:45 pm,Crush,Save my number as 'future ex' 😏,1
01/01/2024,08:50 pm,Sara,That outfit was fire yesterday 👀,1
01/01/2024,08:55 pm,You,Missed video call,0
01/01/2024,09:00 pm,Sara,Car insurance payment due,0
01/01/2024,09:05 pm,Sara,You're my favorite distraction ❤️,1
01/01/2024,09:10 pm,You,Meeting notes are in the drive,0
01/01/2024,09:15 pm,Ali,Flight delayed 2 hours,0
01/01/2024,09:20 pm,You,Final exam schedule posted,0
01/01/2024,09:25 pm,Ali,Your touch would solve all my problems,1
01/01/2024,09:30 pm,You,AC filter needs changing,0
01/01/2024,09:35 pm,Ali,Grocery list is on fridge,0
01/01/2024,09:40 pm,Crush,Car needs an oil change,0
01/01/2024,09:45 pm,You,I'm jealous of anyone who gets your time,1
01/01/2024,09:50 pm,Crush,Your energy pulls me in every time,1
01/01/2024,09:55 pm,You,Stop being so charming 😅,1
01/01/2024,10:00 pm,You,I'm studying for finals,0
01/01/2024,10:05 pm,Crush,Team meeting rescheduled,0
01/01/2024,10:10 pm,You,Stop making me like you more 😩,1
01/01/2024,10:15 pm,You,I want to get lost in your stories,1
01/01/2024,10:20 pm,Sara,I want to get lost in your stories,1
01/01/2024,10:25 pm,You,What's for lunch today?,0
01/01/2024,10:30 pm,Sara,One date and I'm calling you mine,1
01/01/2024,10:35 pm,Crush,Grocery list is on fridge,0
01/01/2024,10:40 pm,Ali,You + I = trouble but the good kind,1
01/01/2024,10:45 pm,You,Miss your face already 🥺,1
01/01/2024,10:50 pm,Sara,You're my safe place in chaos,1
01/01/2024,10:55 pm,You,"Keep talking, I love your voice",1
01/01/2024,11:00 pm,You,Your good morning texts > coffee,1
01/01/2024,11:05 pm,Ali,I want all your attention tonight,1
01/01/2024,11:10 pm,Sara,Do you come with a warning label?,1
01/01/2024,11:15 pm,You,"Be honest, do you miss me?",1
01/01/2024,11:20 pm,Sara,That was the hottest message ever 🔥,1
01/01/2024,11:25 pm,Crush,Meeting minutes uploaded,0
01/01/2024,11:30 pm,Sara,Library books due Friday,0
01/01/2024,11:35 pm,Sara,I'd choose messy hair with you over perfection,1
01/01/2024,11:40 pm,Crush,Exam results are out tomorrow,0
01/01/2024,11:45 pm,Ali,Fridge needs defrosting,0
01/01/2024,11:50 pm,Ali,You're trouble and I like it,1
01/01/2024,11:55 pm,Sara,Your voice is kinda addictive,1
02/01/2024,12:00 am,You,Keys are on the table,0
02/01/2024,12:05 am,Crush,You make boring days exciting,1
02/01/2024,12:10 am,You,"Zoom link expired, new one coming",0
02/01/2024,12:15 am,Crush,One date and I'm calling you mine,1
02/01/2024,12:20 am,You,Your vibe is everything I need,1
02/01/2024,12:25 am,Ali,Come closer next time we meet 😉,1
02/01/2024,12:30 am,Sara,Team lunch at 12:30pm,0
02/01/2024,12:35 am,Ali,Your laugh makes everything better,1
02/01/2024,12:40 am,Crush,Can't stop thinking about you 🙈,1
02/01/2024,12:45 am,Crush,Your silence speaks louder than words,1
02/01/2024,12:50 am,Sara,Missed voice call,0
02/01/2024,12:55 am,Sara,Bank hours end at 5pm,0
02/01/2024,01:00 am,You,Trash needs to go out,0
02/01/2024,01:05 am,Crush,Dry cleaning ready for pickup,0
02/01/2024,01:10 am,Ali,You always know what to say,1
02/01/2024,01:15 am,Crush,If I could I'd hug you right now 🤗,1
02/01/2024,01:20 am,You,Grass needs mowing this weekend,0
02/01/2024,01:25 am,Crush,Lowkey have a crush on you,1
02/01/2024,01:30 am,Ali,<Media omitted>,0
02/01/2024,01:35 am,Crush,Your smile is dangerous 🔥,1
02/01/2024,01:40 am,You,Tire pressure low warning,0
02/01/2024,01:45 am,Sara,Dry cleaning ready for pickup,0
02/01/2024,01:50 am,You,Meeting notes are in the drive,0
02/01/2024,01:55 am,Crush,I'd wait forever for one moment with you,1
02/01/2024,02:00 am,Crush,Project deadline extended,0
02/01/2024,02:05 am,Crush,Bank hours end at 5pm,0
02/01/2024,02:10 am,You,You always know what to say,1
02/01/2024,02:15 am,Sara,Your good morning texts > coffee,1
02/01/2024,02:20 am,You,I'm jealous of anyone who gets your time,1
02/01/2024,02:25 am,You,Stop making me like you more 😩,1
02/01/2024,02:30 am,Crush,Fridge needs defrosting,0
02/01/2024,02:35 am,You,Your texts give me butterflies 🦋,1
02/01/2024,02:40 am,You,Let's make memories that last forever,1
02/01/2024,02:45 am,Ali,Phone charger is in drawer,0
02/01/2024,02:50 am,Sara,I'd fight the world for one smile from you,1
02/01/2024,02:55 am,Sara,Do you come with a warning label?,1
02/01/2024,03:00 am,Ali,I want to be your favorite hello,1
02/01/2024,03:05 am,Sara,Document saved in shared folder,0
02/01/2024,03:10 am,Crush,Library books due Friday,0
02/01/2024,03:15 am,You,Phone charger is in drawer,0
02/01/2024,03:20 am,Sara,I save all your messages to reread later,1
02/01/2024,03:25 am,You,Store closing in 15 minutes,0
02/01/2024,03:30 am,Crush,Tire pressure low warning,0
02/01/2024,03:35 am,Crush,You + me = perfect chemistry,1
02/01/2024,03:40 am,You,Missed video call,0
02/01/2024,03:45 am,Sara,Miss your face already 🥺,1
